A,B,C,D,E,F,G,H
-9.160866834125686,2.0621302526169387,4.837711526301674,-4.346399500829551,2.9467430723394834,0.6030916545854407,-8.299990268453422,-8.165439222547972
-0.23110348380918033,1.2808350378239624,-9.236737533106151,-6.9570413110239375,3.8049683318099583,6.2308465803723525,-2.9147258338191033,8.033089644882452
-9.048888100228918,1.5222022390258343,5.120446628371648,-4.911564577606608,1.6823133232014365,0.11403903983391708,-8.477865568400693,-7.879889681413089
2.8750323827330186,-6.87425629581909,1.354997015314991,-2.4207657245757614,-7.512797184035956,5.8674987376124,8.617150002762408,-4.975955351246973
3.8937183491424827,-5.383670278019963,1.0137621762845184,-3.266091171280506,-5.7214577741187975,5.986232209056019,9.082321733832229,-4.018634727564214
-7.7979056376935505,1.2977678296878654,4.332962251562887,-3.1683352168461067,5.1343772942272805,0.682531310535909,-8.146169876989436,-5.423698739591544
-7.273792096686552,2.024649494069511,3.8539099481477344,-6.056580230178298,3.9514534766665927,0.7744705844971294,-7.832152496799174,-7.230971400331055
4.872641201150903,-5.562491750994664,1.663815678425772,-3.5559012725348955,-7.593038990817961,4.7406070039566,7.475397874754309,-6.42336191424959
5.074578871523409,-6.796538766948059,2.5678727198782534,-2.691701715086548,-5.718055867852899,5.794185818000521,9.177370520862976,-4.885546093941457
-7.074262237948943,1.878237211202393,5.577992624555276,-4.2999592775281075,3.8628015476930515,0.06301222009226859,-10.055839091583906,-6.363576913218472
-9.264429226006513,3.3200796707418214,3.82827253211419,-4.925291678094019,3.4639545328470773,-0.5361590259904707,-8.765557089102677,-7.710561969708222
-8.86906645562489,1.8466652572683864,3.893426727543071,-4.447376875172313,3.047987330473859,-0.1561092564940506,-9.016694301338417,-6.146560982947244
0.11934571524176174,1.513839747664761,-10.455621134855914,-5.9166446989513926,3.324365933181028,7.026335432754724,-4.613291359087473,6.867622465588632
4.467429169410254,-7.772545448930232,-0.34627522098088037,-2.4196155793067544,-8.016515474539563,5.019742866659334,10.565143560096198,-5.354889287008443
2.6439053261936336,-5.570662163505045,0.6344628760197588,-2.6274882667050656,-6.712096323178118,6.799340953859058,9.683461353097838,-5.217385379006979
-7.411660982448056,2.615919419312453,4.557633875611042,-4.708477967925316,3.77164486237379,-0.5239871600359228,-9.687554663198167,-7.328368375540954
4.2484779656829295,-6.55898120122696,1.338725282877759,-2.6984849958323256,-6.362032247149371,5.909719133095202,10.028035881169792,-5.38978587059346
0.9522913513658104,1.6381841833506448,-10.911257719856623,-6.602870415248833,3.548647265273818,7.49169739352929,-4.451074747819344,6.799575455577584
0.17233936076852693,2.4208372258951516,-8.620345269182971,-6.052827428876576,4.1158499498162024,5.9838653011556096,-3.074137945393881,7.348100907682752
4.332893502139053,-6.815461595902253,1.066643607796194,-2.5660141638521643,-6.442024080185644,5.701040910657632,9.252308932013538,-5.409328835398577
1.5564367821985994,0.9077844011532019,-10.282023613784908,-6.538694623138923,5.076455728346657,5.560155971361501,-3.4789913040225935,7.417073597145795
5.180376461250087,-6.112423478645929,0.6523010262625395,-2.930171201183894,-6.679321102891478,6.0602003456738425,9.473235247831326,-5.400593874040693
-7.721947998684753,3.394334783383079,3.682879273379704,-5.982299540705515,2.0677376045894045,-0.6646108715449881,-9.508023793570363,-8.112324222819582
-7.909207575567928,2.144891587877171,5.583232780947348,-4.881574833308834,2.7212694433196374,2.1200594727225104,-8.651195447849046,-7.900611986672971
4.026967728570531,-5.2684851169124,2.043937290691756,-3.273916088411636,-7.288450466542557,5.878865530926667,9.067914380626572,-4.677161971694774
0.45976373877059384,1.7512977741196694,-10.258955956126302,-6.391088872164696,3.1803961037039237,6.663732293231212,-3.7928532739496186,10.162094969800012
5.7345781371676186,-5.699899963118759,0.6080297681835969,-3.2333574361073483,-5.447271812838648,6.714166692665834,9.188467002211375,-5.037959441573379
4.915712834349501,-6.556399399554155,0.45694515221212595,-3.2376354870969903,-5.601209474134244,6.004449158382571,8.478891043091691,-5.128436913210457
-7.820681354060632,3.4317738729799494,4.496552558153576,-4.082451139472701,4.234479109381411,0.29641108475401895,-8.967152611255306,-7.106850582441694
-7.973095832479017,1.2676827659005885,4.0343919975300775,-4.188050415654128,4.695006651073579,-0.33454323441894085,-9.31709967270835,-6.300659688802375
4.863165464081778,-6.316891998035999,1.6491725500857268,-2.2688453198569283,-5.922718202434216,5.679230410900567,8.512217617381431,-6.655288796808256
-1.3156359621956553,0.5853156616267365,-9.555159989614317,-5.713544362357704,3.946326309247782,7.7196873245778965,-3.80182160682482,7.194907796990661
0.3531441641629443,1.605136735447187,-8.889760996259803,-6.301630018252662,3.0296925202321447,7.147186386081971,-4.748909786204662,7.621924875544777
5.4143806063247,-5.8392774266979,1.4527979463571445,-3.559355919817227,-5.517580995971884,5.800560304972478,9.147170592031753,-5.718952932237155
2.1247012113792145,1.2582970460775162,-9.5392656609465,-5.247057149317725,4.8247465724964105,7.8209108563474015,-4.662623834528063,8.18741750693294
3.8789182268752045,-6.371010506447522,1.751057883872278,-4.202167332627111,-5.968558300055422,7.205813007712651,9.521025007605731,-5.0486542050582885
3.2870328066570194,-7.135441410230803,1.2163142315961715,-3.175598139176194,-6.2631653920876795,5.734828211941993,8.699357771396123,-4.223484083616698
-8.31262906014481,2.2672625633250796,5.246591020969233,-4.446216711872686,4.0108273830108105,0.10205340107542765,-8.997709057103144,-6.274464768842259
-6.350565299029793,2.0939985763463143,4.519448277879729,-4.395647957402888,3.77737240349503,-0.5709299338559551,-9.094247841515124,-8.398886451768728
