A,B,C,D,E,F,G,H,cl
-8.890593609023025,2.6276345802518373,4.660864680422946,-4.828543265181774,3.1721340593904106,0.3909986896918453,-8.586457240683876,-7.044945854290061,2
-7.700161773707282,2.4845388010953715,3.781395637719171,-3.4195119008539567,3.3348623892457283,0.025173444209979412,-8.454756773575399,-7.959726928617521,2
3.182527797493773,-5.604574263391636,2.234331486508822,-2.8456131518541414,-5.954910322050164,4.06818017344738,9.842163187675949,-6.777029179055332,1
2.603611828071136,-6.908103342797444,1.1186846122816108,-2.3880700813407807,-6.480311380618332,6.071560678070238,10.004067743009752,-5.41835367436567,1
4.343552621057665,-5.248050151508989,0.4578243070722363,-2.5836605864435844,-6.429195093958449,5.154618865451738,9.120558230970916,-5.457337363532825,1
-0.45618332120719496,2.025734918645791,-8.006837573964145,-7.2446790807526815,3.4980606467360995,6.725698581439109,-4.784751453035864,8.86872374698413,0
-8.5114126883954,0.7960120520968901,4.706958533352959,-4.589670132281253,3.1183835236852993,0.47017699753071984,-7.9153067609001,-8.206967963470776,2
4.8467485491234665,-5.9173067697766,1.8854754085128325,-2.499810502461492,-4.934191304047923,5.796424030180337,8.310014074916484,-4.5034091784748735,1
5.151300929125511,-6.812306692768501,1.3675634518635453,-3.779948588167449,-5.94512901625424,5.5155785717443635,9.893508108414023,-5.541414484536663,1
-7.568214741601837,1.100567934823308,4.8033313089660945,-6.219253834471812,3.8512121825335854,0.7896565966476222,-8.60067253101366,-8.18571247897753,2
0.7490148819902679,2.0799165838049727,-9.662066807754542,-6.253531145022321,3.984346879050503,6.827759400840084,-3.183896202092888,7.135894214487287,0
3.176565672184472,-5.735008707344968,1.1689382190686801,-2.7414373557821583,-6.769940853079669,5.665520341503823,9.301775440050175,-5.855381500734267,1
0.7126108543073256,2.5265785997530252,-8.992137154845121,-6.231672629317387,4.253148573603716,7.303107099158293,-4.525617553363265,7.960269002221017,0
4.549954927134096,-5.683423305322829,0.9032372628259674,-2.1180265324391607,-5.398706734320034,6.4992091194782855,9.22139612975527,-3.5264842211799565,1
5.205115938629724,-6.606606126457054,0.9748313071648897,-3.9847084429952293,-7.314631690761259,4.299665972740794,8.201560959968003,-5.775321905319464,1
1.0005793680485613,1.0256670380812545,-9.571478316092387,-7.08084257340821,2.0529075436322732,6.420619083666324,-4.626011550415201,8.479909956579517,0
3.838349354757292,-5.5829601165953875,0.06802358710620648,-3.259891876600482,-5.739790982460951,6.7484724754943155,8.743478324239339,-4.600982130705246,1
0.0076993112175970935,1.2986210572377184,-9.734339083881324,-6.981991678750769,3.0237076609746674,7.498777472477622,-3.747413523556854,8.070361697221678,0
0.12066089876707592,0.6850421071742196,-10.481958774752014,-7.199142453827089,4.326632914208124,5.498672441458927,-2.5973222447649738,7.982666339756111,0
-8.995741541352539,1.5186938271084671,4.12974316698412,-4.433703651646678,2.9267664053093725,1.4980936382444938,-9.328952248680384,-7.119927203403983,2
4.360246502518406,-6.034426791264735,0.9424864545119145,-2.9972563970640778,-7.242119177252945,5.080266982943799,7.719451090911688,-6.522943645310543,1
4.373526936050322,-6.280400407042247,2.0275485206961186,-3.3158278572171396,-5.19138470086538,6.224447601813262,8.596338859983149,-4.846908799707089,1
4.917905072499835,-5.862936004413284,1.3501032482674629,-2.3536091523928775,-7.132667150691162,5.270694736857962,9.701284983112318,-5.530868491085661,1
-7.668839057431013,2.6296189298867407,5.242838134693546,-4.322025021061447,4.044690298379855,0.16234157264884747,-10.596278581193165,-7.516372431023336,2
4.952155047454005,-6.417093270701195,1.5297495346337828,-3.416330927930958,-7.892093629731766,5.86119655104854,10.167782386609073,-5.01443240248817,1
-8.394197806658447,2.1305801693372395,4.550989377937236,-3.985735369415717,3.675691167586033,0.03727887964775356,-9.610096100287976,-5.409831625097322,2
4.59289890885545,-7.896555037957317,-0.8905844475035571,-2.9365137803238004,-6.707789794810013,5.749310540470594,9.127492533662332,-4.778042210044233,1
-8.711705857308122,2.744573523548786,4.786654686790131,-4.568053408069802,2.7507791967009028,0.30698071001171695,-8.467796329502622,-8.006583776616118,2
-0.4366906568248179,1.7794872717779562,-8.960536388975855,-6.78159405116647,3.4070553222413937,7.708557382677732,-3.323268285885017,8.302389132126986,0
-0.6696276564411685,2.604733571373435,-9.306794972734478,-5.427514731692806,3.5824855409624194,5.965307893976037,-3.384810885400612,8.226699705506196,0
4.594360301780995,-8.14814388315673,0.44158114984652774,-4.02693175789555,-6.189700791467446,5.0213306121841,8.728373356999905,-4.992606133550026,1
4.692487186331315,-6.499909245334437,0.9642401606277584,-3.5589128888251387,-6.252228496858952,6.664339356363077,8.16874192853238,-5.334456578486477,1
-8.036374377902975,1.122448050011065,3.962785955673035,-5.338956002396442,2.792296749250756,1.5020982801861524,-9.024913977429136,-6.8120040831696205,2
4.540717777266648,-7.0149869249007155,1.613615712750913,-3.3827639832993976,-6.248874582597943,4.146161580634282,9.302640242223806,-5.160384448948042,1
3.494875904473907,-5.398049279933103,1.5263158956162453,-2.8817568169489665,-7.069518997233554,5.862357392073138,8.25145946521939,-5.803460703256011,1
1.0671737020841925,0.9450393287808524,-8.749663064748262,-7.40378755773208,3.786641309721363,6.983219011016811,-4.366160051707986,6.811218305832486,0
-9.144666109766824,2.575027910442289,4.862817391081222,-5.216967744079085,3.0483541903416036,0.23803984863750308,-9.515133572027551,-6.404406082806905,2
-0.43303652967527306,0.7086942189155419,-9.383772147242516,-5.527983129106681,4.733353544292082,6.091555562145406,-2.9170006074941517,6.436127191085627,0
3.051997773260473,-5.682966779030962,1.8754864149349992,-2.7835820659457835,-5.97413435068004,5.011280299148666,10.114856511257715,-5.526539381055836,1
4.515065763441592,-7.182181462010101,0.2597520386438914,-2.824618905710013,-6.867510456670452,5.038908689061092,8.48353504191357,-6.22572474245998,1
3.949223347932362,-7.530196069677446,1.7678670837188113,-2.2541915060894446,-6.46862299673214,7.395658943848268,9.448698786862998,-5.415075175643567,1
0.499213984974097,2.307376435949068,-9.179200927406336,-7.416432444756468,4.013866324445168,6.738143702575388,-3.3199569963692688,7.139465807253785,0
0.5185850676751572,2.209898627983673,-9.893729685521762,-5.910518926142472,3.5182273869741736,6.787234328177664,-3.762265544650378,8.686167132319461,0
-0.358441681372761,1.7480317996391241,-10.061085254740536,-6.950853564836815,3.5296590079260595,7.190347968818527,-3.0086664123347235,7.910939907623366,0
-8.954865053203992,2.469648573492229,3.722002689949716,-4.713045639135383,2.573238562102011,2.1172954966509296,-9.266798877938253,-7.846237737303353,2
-7.547187753514747,1.4345075922145125,4.315750745074112,-4.568813914834189,3.8689470744507846,-0.8953511014200533,-10.206372383111866,-7.312529301172797,2
4.660474510953726,-5.623960066817662,0.2740368916393412,-2.519977856266718,-6.045869396490071,5.206958928209474,9.079354204049459,-5.319762562855698,1
0.8498622470007109,0.9872055081258605,-9.609953218196715,-7.321479715879945,3.789820484647351,7.040511963037587,-3.9043291819945565,7.856707351653038,0
5.333373744156358,-6.971938880334534,2.047820508866991,-2.766956153229976,-5.9841280370651235,5.287373390065571,8.592826749268689,-5.242699439486526,1
3.364274316806893,-6.0069441408063815,1.3846598312602327,-2.1395177866020294,-6.715806837980875,5.714513805638083,9.802454220555488,-5.655054519995968,1
